ID_Psa,Meno_Psa,Hmotnost_Kg,Datum_Narodenia_Psa,Je_Stene_Boolean,ID_Rasy
476,17820971,,,,
3133,17823587,,,,
3970,17834474,,,,
3403,17842577,,,,
2381,17842678,,,,
2898,17844469,,,,
3498,17846148,,,,
673,17848254,,,,
3254,17852513,,,,
2190,17859353,,,,
4148,17861022,,,,
3691,17867637,,,,
2371,17869439,,,,
4388,17869451,,,,
912,17875190,,,,
3154,17878344,,,,
929,17885814,,,,
3303,17887256,,,,
2843,17888240,,,,
3246,17890306,,,,
550,17890738,,,,
780,17905918,,,,
3317,17906290,,,,
359,17912522,,,,
3533,17913253,,,,
4075,17917604,,,,
3355,17942309,,,,
2433,17946730,,,,
2762,17950259,,,,
2407,17951275,,,,
1628,17955223,,,,
2871,17955400,,,,
4310,17961661,,,,
2886,17961714,,,,
2833,17970502,,,,
926,17971351,,,,
465,17972042,,,,
531,17975628,,,,
1887,17978264,,,,
2204,17984814,,,,
657,17985257,,,,
952,17987724,,,,
2395,17990694,,,,
2108,17996025,,,,
5634,18013059,,,,
4554,18014609,,,,
5598,18021359,,,,
4525,18031939,,,,
5012,18032743,,,,
4648,18083627,,,,
4644,18096862,,,,
5006,18099624,,,,
4776,18100882,,,,
4971,18114457,,,,
5638,18118944,,,,
5257,18119505,,,,
4566,18121954,,,,
5147,18144560,,,,
4877,18153009,,,,
4694,18154656,,,,
4758,18156474,,,,
4885,18160319,,,,
5081,18161498,,,,
5241,18169559,,,,
5105,18180771,,,,
4857,18182015,,,,
4852,18182966,,,,
4690,18183688,,,,
4642,18185100,,,,
4574,18185104,,,,
4752,18193861,,,,
4723,18202661,,,,
4819,18205379,,,,
4584,18206636,,,,
5552,18213470,,,,
4652,18216958,,,,
5093,18223509,,,,
4766,18243091,,,,
5179,18249456,,,,
5255,18256524,,,,
4873,18268449,,,,
4549,18280152,,,,
4671,18282910,,,,
5580,18291741,,,,
4823,18294290,,,,
5610,18301397,,,,
5282,18316140,,,,
5272,18316219,,,,
4562,18318193,,,,
4665,18321355,,,,
4841,18321438,,,,
4889,18339298,,,,
4770,18343295,,,,
4661,18349389,,,,
4537,18356485,,,,
4636,18369216,,,,
4596,18375403,,,,
5189,18377219,,,,
5654,18382876,,,,
4929,18384605,,,,
4656,18393772,,,,
5543,18418188,,,,
4615,18419288,,,,
4513,18432782,,,,
4827,18433499,,,,
4762,18436931,,,,
4600,18458403,,,,
4869,18460165,,,,
4504,18462317,,,,
4989,18463017,,,,
4619,18466870,,,,
4589,18467203,,,,
4570,18486020,,,,
4529,18486470,,,,
5219,18494220,,,,
5353,18507889,,,,
5185,18511655,,,,
4711,18517944,,,,
4627,18519988,,,,
5150,18521840,,,,
5650,18524941,,,,
5394,18541842,,,,
4881,18543679,,,,
5175,18544692,,,,
5107,18546858,,,,
4489,18552795,,,,
5208,18552942,,,,
4685,18587248,,,,
5424,18610228,,,,
4508,18617795,,,,
4519,18623782,,,,
5619,18624524,,,,
4836,18637099,,,,
5591,18639337,,,,
4551,18651545,,,,
5642,18652036,,,,
4831,18671216,,,,
4865,18681127,,,,
5388,18681409,,,,
5381,18682877,,,,
5339,18689340,,,,
4702,18705352,,,,
5664,18710908,,,,
5245,18714628,,,,
4500,18716802,,,,
5405,18725235,,,,
5606,18762390,,,,
4924,18765263,,,,
4623,18767237,,,,
5419,18769699,,,,
5623,18776504,,,,
4731,18780169,,,,
5155,18781258,,,,
4814,18793028,,,,
4707,18794310,,,,
5482,18803173,,,,
5262,18804246,,,,
4631,18807233,,,,
4543,18807500,,,,
5077,18819245,,,,
4550,18823520,,,,
4578,18857300,,,,
5243,18869689,,,,
4916,18874074,,,,
4743,18883649,,,,
4676,18887888,,,,
4994,18894198,,,,
4894,18917299,,,,
4935,18920656,,,,
4533,18922189,,,,
5566,18931044,,,,
5142,18936889,,,,
5547,18950316,,,,
4748,18953987,,,,
4920,18955742,,,,
4810,18970776,,,,
5439,18970866,,,,
4548,18981339,,,,
4512,18982531,,,,
4558,18988618,,,,
4903,18990079,,,,
4985,18997918,,,,
5212,18999508,,,,
6892,19008963,,,,
5894,19075537,,,,
5909,19089019,,,,
6537,19096206,,,,
5673,19104019,,,,
5855,19125207,,,,
6669,19129956,,,,
6572,19130557,,,,
6460,19140852,,,,
5950,19189519,,,,
6550,19196575,,,,
5954,19218307,,,,
6186,19234844,,,,
6837,19242791,,,,
5871,19246679,,,,
6800,19247784,,,,
5878,19250591,,,,
6665,19256125,,,,
5945,19266702,,,,
5930,19292109,,,,
6531,19292553,,,,
6535,19293811,,,,
6673,19322824,,,,
5861,19352776,,,,
5926,19359180,,,,
5841,19375889,,,,
6820,19399443,,,,
5845,19414989,,,,
6166,19416443,,,,
6775,19419218,,,,
6342,19429155,,,,
6853,19439712,,,,
5863,19449316,,,,
5857,19462096,,,,
5914,19477029,,,,
5869,19483202,,,,
6222,19496019,,,,
5907,19530376,,,,
5875,19539924,,,,
6832,19552175,,,,
6520,19552226,,,,
5911,19560565,,,,
5853,19630701,,,,
6630,19676343,,,,
6779,19697492,,,,
6197,19703838,,,,
6525,19710878,,,,
5865,19713965,,,,
5943,19735297,,,,
6226,19737219,,,,
5786,19746717,,,,
6220,19754198,,,,
5905,19761359,,,,
6230,19793698,,,,
5920,19823076,,,,
6580,19829611,,,,
5873,19835015,,,,
6592,19846313,,,,
5859,19875269,,,,
5693,19886725,,,,
6514,19886730,,,,
5843,19903832,,,,
6771,19911580,,,,
6331,19913168,,,,
6627,19915438,,,,
5867,19923874,,,,
6179,19931897,,,,
5876,19939628,,,,
6743,19948080,,,,
5922,19949095,,,,
5924,19972299,,,,
5960,19997652,,,,
6001,19997969,,,,
5985,1lexi,11,2017-06-18 10:39:47,0,150
5987,1pačí,38,2014-08-18 10:49:59,0,162
6583,2,,,0,
34754,2,32,2015-09-09 19:37:55,0,33
127676,2,,,0,24
156095,2,,,0,
40,2,,,,
207065,200 Kč + doprava zdarma,,,,
210281,200 Kč + doprava zdarma,,,,
23871,20000349,,,,
28869,20000833,,,,
18587,20001497,,,,
21923,20001850,,,,
35019,20001951,,,,
10501,20001979,,,,
31691,20002036,,,,
16788,20002172,,,,
22036,20002855,,,,
18059,20003173,,,,
23172,20003326,,,,
26716,20003616,,,,
7979,20003709,,,,
12459,20003956,,,,
14589,20003989,,,,
21513,20004175,,,,
15585,20004898,,,,
10950,20005053,,,,
38350,20005069,,,,
40838,20005497,,,,
39456,20005962,,,,
42969,20006017,,,,
38160,20006100,,,,
19166,20006130,,,,
21801,20006274,,,,
28390,20006686,,,,
42307,20006798,,,,
41525,20007046,,,,
8368,20007502,,,,
29900,20008131,,,,
34711,20008189,,,,
18114,20008260,,,,
9201,20008338,,,,
22820,20008496,,,,
7720,20008888,,,,
28514,20009102,,,,
23327,20009331,,,,
6942,20009354,,,,
7973,20009551,,,,
29409,20010146,,,,
27165,20010175,,,,
14370,20010247,,,,
33827,20010315,,,,
42321,20010847,,,,
16890,20011085,,,,
13446,20011103,,,,
35588,20011403,,,,
34595,20011508,,,,
28524,20011669,,,,
16851,20011828,,,,
20555,20013013,,,,
